Action,SF_Id,Name,Field,Before,After,Source,Timestamp
UPDATE,006WR00000wk1ERYAY,Indian Hills Terrace (Indian Hills Village Court),AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wk1ERYAY,Indian Hills Terrace (Indian Hills Village Court),Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026. Bulk agreement sent for review June 2025 - Melissa to follow up.","Build approved - NID construction greenlit, target serviceable by 5/31/2026. Bulk agreement sent for review June 2025 - Melissa to follow up. | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkA8yYAE,78th Place Apartments (78th Street),AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkA8yYAE,78th Place Apartments (78th Street),OwnerId,Rosemarie Shortino,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkA8yYAE,78th Place Apartments (78th Street),Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBToYAM,Orchard Park Apartments,AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBToYAM,Orchard Park Apartments,OwnerId,Bill Holick,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBToYAM,Orchard Park Apartments,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBTuYAM,Indian Hills Village Apartments,AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBTuYAM,Indian Hills Village Apartments,OwnerId,Bill Holick,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000wkBTuYAM,Indian Hills Village Apartments,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xv174YAA,The Wakeley Pointe,AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xv174YAA,The Wakeley Pointe,OwnerId,Rosemarie Shortino,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xv174YAA,The Wakeley Pointe,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xvWR0YAM,4810-4812 Capital Ave,AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xvWR0YAM,4810-4812 Capital Ave,OwnerId,Rosemarie Shortino,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xvWR0YAM,4810-4812 Capital Ave,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xwGATYA2,California Place,AccountId,,Marcon Enterprises,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xwGATYA2,California Place,OwnerId,Rosemarie Shortino,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,006WR00000xwGATYA2,California Place,Next_Action__c,"Build approved - NID construction greenlit, target serviceable by 5/31/2026","Build approved - NID construction greenlit, target serviceable by 5/31/2026 | [2026-06-24] Melissa to meet owner (Albert Moellenbeck / MarCon) re: portfolio bulk.",2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
UPDATE,001WR00001K2k7dYAB,Marcon Enterprises,OwnerId,Rosemarie Shortino,Melissa Baker,2026-06-23-tie-marcon-portfolio-to-account-melissa.py,2026-06-23T10:13:13.252000
