Tracker_Site,SF_Id,SF_Name,SF_Owner,SF_Stage,Current_Proj_Close,Proposed_Proj_Close,PC_Change,Current_Next_Action,Proposed_Next_Action,Current_Next_Action_Date,Proposed_Next_Action_Date,Note_Topic,Ambiguous_Note
Mesa_MDU_Falcon Glen Apartments,006WR00000wk9SZYAY,Falcon Glen Apartments,Brett Spivey,Contract Negotiations,2026-05-30,2026-05-29,YES,,Brett to forward to owner Linda Inabe (CA) and pitch proposal; plan CA trip,,,Falcon Glen — 4/29 call,
Decatur_MDU_The Laredo Apartments,006WR00000wk9SdYAI,The Laredo Apartments,Brett Spivey,Contract Negotiations,2026-04-30,2026-05-29,YES,,Melissa to schedule meeting w/ Brett + Amy on NextLink offering; aggressive bulk pricing,,,Laredo — 4/29 call,
Mesa_MDU_Woodglen Square Condo II,006WR00000wkDtwYAE,Woodglen Square ll,Bill Holick,PAL/ROE Complete,2026-04-17,,,,Maps/floor plans received from Taylor; awaiting address list to start engineering,,,Wood Glen Square ll — 4/29 call,
Capri on Camelback,006WR00000wkEc3YAE,Capri on Camelback,Brett Spivey,EMA/Bulk Complete,,,,,Brett to contact owner re bulk requirement (hut needs bulk to work),,,Capri on Camelback — 4/29 call,
Mesa_MDU_The Traditions Apartments,006WR00000wkEbvYAE,The Traditions Apartments,Brett Spivey,EMA/Bulk Complete,,,,,Niraj to send legal note to Caitlin re cancellation comm to AT&T; PAL not being canceled,,,Traditions — 4/29 call,
Mesa_MDU_La Mesa Village Apartments,006WR00000wk9SEYAY,La Mesa Village Apartments,Brett Spivey,Contract Negotiations,2026-04-30,2026-05-29,YES,,MDU On Net — Access Agreement in next 30 days,,,La Mesa Village — 4/29 call,
Mesa_MDU_Garden Place Apartments,006WR00000wk9SYYAY,Garden Place Apartments,Bill Holick,Contract Negotiations,2026-05-30,2026-05-29,YES,,MDU On Net — Access Agreement in next 30 days,,,Garden Place — 4/29 call,
Washington_MDU_Coyote Creek,006WR00000wkEbuYAE,Coyote Creek,Chuck McNeely,EMA/Bulk Complete,,,,,Brett to follow up with leadership and owner,,,Coyote Creek — 4/29 call,
Killeen_MDU_Eastgate Village Apartments,006WR00000wkEcCYAU,Eastgate Village Apartments,Bill Holick,On Hold,2026-05-01,2026-06-01,YES,,Bill to coordinate with Angie to revive (reach out to owner Sean Darden); waiting on W-9 + PAL addendum signature,,,Eastgate — 4/29 call,
Mesa_MDU_Westmount at The District Apartments,006WR00000wkC7YYAU,Westmount at The District Apartments,Bill Holick,Prospecting,2026-05-01,2026-06-15,YES,,Push PAL signature before Walker's paternity leave (early May); Kyle reaching out to backup,,2026-05-08,Westmount at the District — 4/29 call,
