SF_Id,Name,Field,Before,After,Source,Timestamp,Action
006WR00000wkFbzYAE,The Arthur Apartments,Next_Action__c,moved to engaged status. LK went to management company (Burlington Capital) to reach regional manager. Did talk to District manager. They said they would be in touch,"Bill getting Kelly's (Burlington Capital regional mgr) contact from Lloyd, then handing to Melissa to engage the closer. Best Omaha opp (~500 units, brand new). Update expected next week.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA6dYAE,Howard Street,Next_Action__c,"Emailed Kelly 6/30 no response. LK to call. Kelly wants in-person meeting this week; Melissa setting up face-to-face (same owner as Terrace Garden, ~90 units)","Kelly's contact coming from Lloyd (via Bill), then Melissa reaches out and updates SF. Grouped with Arthur + Terrace Garden under Kelly.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA7oYAE,Terrace Garden Apartments,Next_Action__c,"Emailed Kelly 6/30 no response. LK to call. Kelly wants in-person meeting this week; Melissa setting up face-to-face (same owner as Howard Street, ~90 units)","Kelly's contact coming from Lloyd (via Bill), then Melissa reaches out and updates SF. Grouped with Arthur + Howard Street under Kelly.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA8mYAE,4813-4823 Boyd St Apartments,Next_Action__c,Victor POC - following up,Victor is POC. Bill to pass contact to Melissa; folding into this week's Omaha call blitz.,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA8zYAE,6314 Boyd Street,Next_Action__c,Email to Dr. Kumar sent again asking for meeting,Dr. Kumar is POC. Bill to pass contact to Melissa; folding into this week's Omaha call blitz.,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA6fYAE,Bedford Square [fmr Maplewood Court],Next_Action__c,Marisol del Gardio received PAL but no response. Interested; Taylor sent PAL 4/28 before going on break. Owner reviewing,Marisol interested. Bill adding to the Omaha phone-call push to move the April PAL forward.,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkA6WYAU,Dundee Flats,Next_Action__c,Has bulk with Cox. LK trying to reach to see expire date. Put to On Hold,"On hold (~62 units). Bill to confirm the Cox bulk/EMA expiration (~Sept) from old notes / Tracker, then revisit when the Cox term ends.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkDMRYA2,Royal Gardens,Next_Action__c,Owner AK wants call but got OOO response. Bill handling,"AK engaged (owns 18, this + Pioneer are the 2 near our fiber). Melissa picking up and addressing AK's 6 items (renewal terms, balloon, flat fee, tenant termination, free common-area WiFi). Target sign by 7/15.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkDMRYA2,Royal Gardens,Next_Action_Date__c,,2026-07-09,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkDMXYA2,Pioneer Crossing Apartments,Next_Action__c,Owner AK wants call but got OOO response. Bill handling,"AK engaged (owns 18, this + Royal Gardens are the 2 near our fiber). Melissa picking up and addressing AK's 6 items (renewal terms, balloon, flat fee, tenant termination, free common-area WiFi). Target sign by 7/15.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkDMXYA2,Pioneer Crossing Apartments,Next_Action_Date__c,,2026-07-09,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wk9SpYAI,Carmel Creekside,Next_Action__c,"Proposal sent in March, offered 100 dollar door fee",One of the 3 TX July targets (biggest). Angie following up; no substantive update this week (currently forecast Aug).,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkC7zYAE,Williamsburg Townhomes and Apartments,Next_Action__c,Good text exchange showing interest; PAL under proposal review with owner,"One of the 3 TX July targets. Angie following up; owner went quiet, no update this week (forecast Aug).",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wkCjMYAU,Gardens of Taylor,Next_Action__c,PAL received. Angie following up. PAL resent for signature 6/17.,Melissa adding to her call blitz this week to push the stalled PAL (strong momentum on the prior call; owner's current agreement ends Aug). Targeting July close.,2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
006WR00000wk9SlYAI,Mariposa Apartment Homes at River Bend,Next_Action__c,Meeting to be scheduled,"Brett following up (was close, very interested). One of 5 TX opps handed off from Chuck; Brett to log updates. Brett shifting focus to TX + Omaha, tag-teaming calls with Melissa.",2026-07-08-mdu-meeting-update.py,2026-07-08T14:54:08,update
