SF_Id,Name,Field,Before,After,Bucket,Source,Timestamp,Action
006WR00000xumrOYAQ,New Added Site,Description,,[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site and no Vetro as-built match found. Confirm whether built - may be a genuine ST project gap.,no-vetro,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:14.907992,update
006WR00000ywTNFYA2,876 Bonita Drive,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH19, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH19 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:15.324738,update
006WR00000ywMAUYA2,"247-263 HWY 101 Solana Beach, CA",Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Solana Beach FDH08, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Solana Beach FDH08 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:15.725928,update
006WR00000ywAsVYAU,Island View - Private Road,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH64, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH64 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:16.194273,update
006WR00000yvvNCYAY,950-946-942 Hygeia Avenue,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH18, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH18 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:16.608101,update
006WR00000yugutYAA,Ocean View Private Road,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site. In Encinitas FDH51 but Vetro status is future_serviceable (planned, not yet built). Confirm build completion before treating as active.",fdh-planned,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:17.073448,update
006WR00000ywTOrYAM,915-919 Neptune Ave,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH11, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH11 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:17.632655,update
006WR00000wkA6iYAE,Green Valley Mobile Estates Encinitas,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH69, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH69 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:18.246878,update
006WR00000ywF2ZYAU,May Private Road,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site. In Encinitas FDH38 but Vetro status is future_serviceable (planned, not yet built). Confirm build completion before treating as active.",fdh-planned,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:18.656800,update
006WR00000yw5zGYAQ,Oceanic Drive,Description,,"[ST linking 2026-07-08] Not linked to a SiteTracker project: no per-Opp ST Site exists. Served at area/FDH grain (Vetro: Encinitas FDH09, serviceable). SoCal SFU builds are tracked per-FDH on Lit_Fiber in the SiteTracker org, not per-Opp - expected here, not a build gap. Verify against Encinitas FDH09 if needed.",ca-area-grain,2026-07-08-annotate-unlinkable-opps.py,2026-07-08T09:32:19.034168,update
